MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.58,-999.00,-999.00, 0.51,-999.00,-999.00,-999.00, 0.55, 1.16, 1.13,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.22, 0.29, 0.33,-999.00, 0.22, 0.29, 0.33,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.40, 0.36, 0.30,-999.00,-999.00, 0.36, 0.30,-999.00, 0.39, 0.42,-999.00,-999.00
CESM2, 0.45, 0.40,-999.00, 0.36, 0.59, 0.40,-999.00, 0.36, 0.57, 0.46,-999.00,-999.00
CNRM-CM5, 0.29, 0.41, 0.26,-999.00,-999.00, 0.41, 0.26,-999.00, 0.36, 0.31,-999.00,-999.00
CNRM-CM6-1, 0.36,-999.00,-999.00, 0.30,-999.00,-999.00,-999.00, 0.30, 0.49, 0.52,-999.00,-999.00
COSMOS-ASO, 0.67,-999.00, 0.90,-999.00,-999.00,-999.00, 0.90,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.49, 0.46,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00, 0.80, 0.54,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.48, 0.40,-999.00,-999.00,-999.00, 0.40,-999.00,-999.00, 0.47,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.23, 0.18,-999.00,-999.00,-999.00, 0.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.32, 0.29,-999.00,-999.00,-999.00, 0.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.51, 0.44,-999.00, 0.42,-999.00, 0.41,-999.00, 0.42, 0.63, 1.00,-999.00,-999.00
FGOALS-g2, 0.46, 0.35, 0.33,-999.00,-999.00, 0.35, 0.33,-999.00, 0.36, 0.45,-999.00,-999.00
FGOALS-g3, 0.53, 0.32,-999.00, 0.33,-999.00, 0.32,-999.00, 0.33,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.38, 0.32,-999.00,-999.00,-999.00, 0.32,-999.00,-999.00, 0.80, 0.87,-999.00,-999.00
GISS-E2-1-G, 0.66, 0.64,-999.00, 0.67, 0.64, 0.64,-999.00, 0.67, 0.62, 0.44,-999.00,-999.00
GISS-E2-R, 0.33, 0.33, 0.23,-999.00,-999.00, 0.33, 0.23,-999.00, 0.36, 0.43,-999.00,-999.00
HadCM3, 0.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.58, 0.53,-999.00,-999.00,-999.00, 0.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.57, 0.48,-999.00,-999.00,-999.00, 0.48,-999.00,-999.00, 0.50, 0.60,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.37,-999.00, 0.25,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.16, 0.16, 0.19, 0.14,-999.00, 0.16, 0.19, 0.14, 0.18, 0.22,-999.00,-999.00
IPSL-CM5A-LR, 0.31, 0.27, 0.39,-999.00,-999.00, 0.27, 0.39,-999.00, 0.25, 0.35,-999.00,-999.00
IPSL-CM6A-LR, 0.25, 0.22,-999.00, 0.22, 0.31, 0.22,-999.00, 0.22, 0.53, 0.32,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.47, 0.28, 0.38, 0.28,-999.00, 0.28, 0.38, 0.28, 0.71, 0.62,-999.00,-999.00
MIROC-ESM, 0.54, 0.50, 0.49,-999.00,-999.00, 0.50, 0.49,-999.00, 0.73, 0.58,-999.00,-999.00
MPI-ESM1-2-LR, 0.34, 0.28, 0.42, 0.30,-999.00, 0.28,-999.00, 0.31, 0.33, 0.48,-999.00,-999.00
MPI-ESM-P, 0.36, 0.32, 0.34,-999.00,-999.00, 0.31, 0.34,-999.00, 0.57, 0.82,-999.00,-999.00
MRI-CGCM3, 0.24, 0.24, 0.23,-999.00,-999.00, 0.24, 0.23,-999.00, 0.38, 0.39,-999.00,-999.00
MRI-ESM2-0, 0.40, 0.30,-999.00,-999.00,-999.00, 0.30,-999.00,-999.00, 0.48, 0.45,-999.00,-999.00
NESM3, 0.30, 0.31,-999.00, 0.26,-999.00, 0.31,-999.00, 0.26, 0.36, 0.31,-999.00,-999.00
NorESM1-F, 0.46, 0.41,-999.00, 0.41, 0.49, 0.41,-999.00, 0.42,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.37, 0.36,-999.00, 0.34,-999.00, 0.36,-999.00, 0.34, 0.79, 0.81,-999.00,-999.00
UofT-CCSM-4, 0.35, 0.22, 0.21,-999.00,-999.00, 0.22, 0.21,-999.00,-999.00,-999.00,-999.00,-999.00
